params,mae,rmse,pearson_r,f1_binary
"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 1}",0.9858704530065286,1.1607051827246289,0.0734242897498727,0.532608695652174
"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 5}",0.9871813480715234,1.1635337397212988,0.0567433418956033,0.5289256198347108
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 1}",0.9838751652564917,1.1557850519019317,0.0942834259161107,0.5126760563380282
"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 5}",0.9862147294630941,1.1575946054116393,0.07886247949463036,0.5318559556786703
"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1}",0.9896680048433121,1.1623679765565071,0.05561188705540071,0.521505376344086
"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 5}",0.9875592298882954,1.160658243578061,0.0679904333405926,0.5082872928176796
"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 1}",0.9883100242116261,1.159141503875835,0.06662207019157726,0.4915254237288135
"{'n_estimators': 200, 'max_depth': 10, 'min_samples_leaf': 5}",0.9889226494670196,1.1585132573529535,0.07171087849595072,0.5
"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 1}",0.9890379643666272,1.1594945977116158,0.0700576911365878,0.512396694214876
